longitude,latitude,alignment
-86.64644,32.532237,republican
-87.746067,30.659218,republican
-85.405104,31.870253,republican
-86.567188,31.177363,republican
-86.56644,33.977358,republican
-86.178564,31.540718,democrat
-88.273598,32.115939,republican
-85.827909,33.770516,republican
-85.394032,32.915504,republican
-87.90624,34.733866,republican
-86.726607,32.854051,republican
-88.248889,31.990954,republican
-87.818624,31.685521,republican
-86.929208,33.544622,republican
-85.516126,33.671964,republican
-85.989602,31.402258,republican
-87.801457,34.703112,republican
-86.988722,31.430926,republican
-86.243482,32.931445,republican
-86.448721,31.243987,republican
-86.320038,31.730311,republican
-86.853185,34.111067,republican
-85.609476,31.430654,republican
-86.660547,33.849544,democrat
-85.804021,34.460915,republican
-86.31497,32.53874,republican
-87.16841,31.122287,republican
-86.034263,34.047641,republican
-87.809908,33.72005,republican
-87.446699,31.661913,republican
-85.86382,31.03296,republican
-87.964201,32.844497,democrat
-87.025862,33.82055,democrat
-85.239971,31.516978,republican
-87.2786,34.188775,republican
-87.898539,31.592985,republican
-87.898611,32.414036,democrat
-88.087431,33.787085,republican
-87.651108,34.904168,republican
-85.531072,34.232316,republican
-85.353048,32.604064,republican
-86.9814,34.810239,republican
-86.650586,32.147888,democrat
-86.077194,33.730656,democrat
-86.818118,34.643795,republican
-87.791091,32.247591,democrat
-87.350401,32.608995,republican
-86.321668,34.309564,republican
-88.103184,30.701142,republican
-86.940549,33.537328,republican
-86.257817,32.356988,democrat
-87.088306,33.467902,republican
-87.293827,32.639005,democrat
-88.096864,33.2968,republican
-85.941608,31.798653,republican
-85.4693961,33.2651763,republican
-85.18698,32.289811,democrat
-86.616644,32.323472,republican
-86.550392,33.080188,republican
-88.200057,32.597481,democrat
-86.144681,33.387375,republican
-85.799618,32.863308,republican
-87.616169,33.170238,republican
-87.301094,33.791558,republican
-88.212404,31.408504,republican
-87.304935,31.990082,democrat
-87.365346,34.154567,republican
-109.490172,35.385084,democrat
-109.835893,32.043893,republican
-111.773728,35.829692,democrat
-110.81187,33.789618,republican
-109.87831,32.931828,republican
-109.242323,33.238872,republican
-114.0184443,33.7923828,republican
-112.053351,32.957645,republican
-113.749689,35.717705,republican
-109.538166,35.124191,republican
-109.82758,32.89618,democrat
-111.366339,32.918521,republican
-112.166537,33.228103,democrat
-112.577225,34.631071,republican
-114.657232,32.701461,republican
-92.444626,34.895526,republican
-92.444626,34.895526,republican
-92.444626,34.895526,republican
-92.585282,34.485476,republican
-90.795722,35.963977,republican
-93.6549,33.09819,republican
-92.444626,34.895526,republican
-92.444626,34.895526,republican
-92.444626,34.895526,democrat
-92.444626,34.895526,republican
-91.786252,35.396749,republican
-92.444626,34.895526,republican
-92.701955,35.395535,republican
-92.444626,34.895526,republican
-92.362875,35.065889,republican
-92.444626,34.895526,republican
-92.444626,34.895526,republican
-92.444626,34.895526,democrat
-92.444626,34.895526,republican
-94.219099,34.53594,republican
-91.67986,35.73619,democrat
-93.20934,35.82675,republican
-92.444626,34.895526,republican
-91.77598,36.17035,republican
-93.79752,33.669917,republican
-93.709901,33.362903,republican
-92.444626,34.895526,republican
-92.444626,34.895526,republican
-92.444626,34.895526,republican
-92.997552,34.643688,republican
-92.444626,34.895526,republican
-92.444626,34.895526,republican
-92.444626,34.895526,republican
-92.444626,34.895526,republican
-92.16404,34.38065,democrat
-94.219977,35.99403,republican
-92.444626,34.895526,republican
-92.444626,34.895526,republican
-92.444626,34.895526,democrat
-94.42355,35.94953,republican
-90.10037,35.807575,republican
-92.444626,34.895526,republican
-91.905399,34.81247,republican
-90.708551,35.025243,republican
-90.19648,35.21453,republican
-92.444626,34.895526,republican
-92.444626,34.895526,republican
