longitude,latitude,alignment
-90.045839,39.751657,republican
-83.175512,32.804266,republican
-89.036758,36.080961,republican
-85.085471,44.325424,republican
-90.241776,32.845368,republican
-98.9086643,30.2954086,republican
-98.520853,41.922575,republican
-95.560811,36.373429,republican
-89.35648,41.11142,republican
-113.427356,46.395955,republican
-96.947551,45.623397,republican
-106.8222688,44.7947537,republican
-81.693493,27.953686,republican
-122.52719,38.134068,democrat
-78.4628573,37.2293293,democrat
-92.701955,35.395535,republican
-93.493347,42.070024,republican
-80.683935,34.717915,republican
-82.437424,39.52535,republican
-95.1791849,31.8390826,republican
-124.094134,43.18591,republican
-88.649897,36.723344,republican
-83.550866,44.422917,republican
-92.114231,32.10122,republican
-82.312058,33.573999,republican
-80.791866,41.855941,republican
-93.245092,41.235597,republican
-93.493347,42.070024,republican
-76.876637,38.413458,republican
-84.06423,38.513473,republican
-94.640848,46.210243,republican
-89.132494,35.818795,republican
-86.447457,39.482646,republican
-105.33001,35.9742,democrat
-99.1673556,26.9879626,democrat
-71.088894,41.748588,democrat
-90.795722,35.963977,republican
-88.3123889,43.0622536,republican
-87.0742,41.615594,republican
-89.589847,40.693137,democrat
-83.621091,41.315346,republican
-112.8342117,39.6949628,republican
-88.947118,40.152822,republican
-85.387208,41.655135,republican
-118.8935483,46.5654696,republican
-94.377167,37.083116,republican
-83.088332,34.764076,democrat
-96.42238,40.569758,democrat
-88.540526,46.170254,republican
-92.5675118,39.8416253,republican
-87.293827,32.639005,democrat
-103.011929,41.214236,republican
-95.93554,36.79592,republican
-96.683453,40.255234,republican
-84.859414,35.153914,republican
-88.635111,38.95267,republican
-107.67145,38.02277,democrat
-100.402135,46.871308,republican
-82.190373,29.293863,republican
-88.475036,32.424307,republican
-93.082854,43.234199,republican
-95.282668,38.564337,republican
-83.317158,37.517807,republican
-82.448299,33.792151,republican
-89.949846,42.278073,democrat
-98.513342,41.216851,republican
-100.79798,46.385558,democrat
-76.153687,35.408157,republican
-86.6057,45.897472,republican
-121.80217,36.6844,democrat
-102.5794339,31.8941755,republican
-97.486815,35.590051,republican
-83.445991,35.397487,republican
-105.890557,34.554978,republican
-80.3789878,39.2820223,republican
-76.402308,36.7847836,democrat
