longitude,latitude,alignment
-270.137517,119.25497100000001,republican
-249.526536,98.412798,republican
-267.110274,108.242883,republican
-255.256413,132.976272,republican
-270.725328,98.536104,republican
-296.7259929,90.88622579999999,republican
-295.562559,125.76772500000001,republican
-286.682433,109.120287,republican
-268.06944,123.33426,republican
-340.282068,139.187865,republican
-290.84265300000004,136.87019099999998,republican
-320.4668064,134.3842611,republican
-245.08047900000003,83.861058,republican
-367.58157,114.402204,democrat
-235.3885719,111.68798790000001,democrat
-278.105865,106.18660500000001,republican
-280.480041,126.210072,republican
-242.051805,104.15374499999999,republican
-247.31227199999998,118.57605000000001,republican
-285.5375547,95.5172478,republican
-372.282402,129.55773,republican
-265.949691,110.17003199999999,republican
-250.652598,133.268751,republican
-276.342693,96.30366,republican
-246.936174,100.721997,republican
-242.375598,125.567823,republican
-279.735276,123.706791,republican
-280.480041,126.210072,republican
-230.629911,115.240374,republican
-252.19268999999997,115.54041899999999,republican
-283.922544,138.630729,republican
-267.39748199999997,107.45638500000001,republican
-259.342371,118.44793800000001,republican
-315.99003,107.92260000000002,democrat
-297.50206679999997,80.9638878,democrat
-213.266682,125.245764,democrat
-272.387166,107.891931,republican
-264.93716670000003,129.1867608,republican
-261.2226,124.846782,republican
-268.769541,122.079411,democrat
-250.86327300000002,123.94603799999999,republican
-338.5026351,119.0848884,republican
-266.841354,120.458466,republican
-256.161624,124.965405,republican
-356.6806449,139.6964088,republican
-283.131501,111.249348,republican
-249.264996,104.29222800000001,democrat
-289.26714000000004,121.709274,democrat
-265.621578,138.510762,republican
-277.7025354,119.52487589999998,republican
-261.881481,97.91701499999999,democrat
-309.03578699999997,123.642708,republican
-287.80662,110.38776000000001,republican
-290.050359,120.765702,republican
-254.578242,105.461742,republican
-265.905333,116.85801,republican
-323.01435,114.06831,democrat
-301.206405,140.613924,republican
-246.57111899999998,87.881589,republican
-265.425108,97.272921,republican
-279.248562,129.702597,republican
-285.848004,115.69301100000001,republican
-249.95147400000002,112.55342099999999,republican
-247.344897,101.376453,republican
-269.849538,126.83421899999999,democrat
-295.540026,123.650553,republican
-302.39394,139.156674,democrat
-228.46106100000003,106.22447100000001,republican
-259.8171,137.692416,republican
-365.40651,110.05319999999999,democrat
-307.73830169999997,95.6825265,republican
-292.46044500000005,106.77015300000001,republican
-250.33797300000003,106.192461,republican
-317.671671,103.66493399999999,republican
-241.1369634,117.84606690000001,republican
-229.20692400000001,110.35435079999999,democrat
-245.033628,91.27654799999999,republican
-267.583917,120.94565999999999,republican
-367.209234,126.32625,democrat
-231.8510547,116.4469068,democrat
-281.407917,117.20611500000001,republican
-243.2154444,115.33800120000001,republican
-293.48387280000003,88.9440183,republican
-311.584035,114.58465799999999,republican
-265.291878,124.76442,republican
-297.927552,115.570788,republican
-281.221512,92.4356967,republican
-309.265332,113.769093,republican
-319.050237,117.61602299999998,democrat
-255.68474099999997,114.71703299999999,republican
-232.3392495,113.234349,republican
-264.0501279,133.3150494,republican
-263.08092,118.17429,republican
-317.152944,117.356742,republican
-305.45579399999997,100.7493723,republican
-248.38615499999997,83.539803,republican
-293.1575514,85.1613537,republican
-226.318086,118.76318700000002,republican
-285.065862,130.950522,republican
-213.054759,127.01565300000001,democrat
-280.9647,99.29457000000001,republican
-253.168386,99.243447,republican
-284.77572,118.76082,republican
-248.79445499999997,109.356267,republican
-300.9332451,86.37858299999999,democrat
-280.480041,126.210072,republican
-319.055478,114.54361800000001,democrat
-240.266757,126.363879,republican
-249.28834799999998,114.350649,republican
-286.8774597,95.3457726,republican
-292.85998259999997,83.14613220000001,republican
-243.13401600000003,107.054934,republican
-256.035867,103.422537,republican
-310.449012,102.06362099999998,republican
-294.37543949999997,87.4769883,republican
-249.05634300000003,114.563583,republican
-275.24505899999997,97.239474,republican
-243.33215819999998,112.22156189999998,republican
-293.498916,134.675949,republican
-243.62581500000002,104.97544199999999,republican
-215.63824499999998,126.79582500000001,democrat
-264.262293,101.361255,republican
-234.02534400000002,111.9958992,republican
-294.305769,84.8036238,republican
-315.113223,137.540391,republican
-253.323912,95.09634,republican
-245.595108,89.95975200000001,republican
-301.32368399999996,118.05164099999999,republican
-350.393376,133.344669,republican
-299.6437836,96.8379363,republican
-250.997841,123.000651,republican
-277.09889699999997,116.072598,republican
-267.967875,126.27592800000001,republican
-267.49017000000003,96.96378000000001,republican
-309.2343558,94.5022749,republican
-249.90126,91.25898000000001,republican
-347.60381700000005,142.524789,republican
-283.032267,112.502397,republican
-363.008493,112.686948,democrat
-238.09184399999998,102.49243200000001,democrat
-294.616311,116.089737,republican
-248.625816,100.677957,democrat
-230.773218,117.75679199999999,democrat
-248.173251,124.197387,republican
-222.71898599999997,118.674249,republican
-349.387248,145.438959,republican
-265.089381,102.843225,republican
-320.963106,121.45099199999999,democrat
-290.0209653,85.5094716,republican
-232.087089,114.0960915,republican
-371.115111,138.073527,democrat
-266.1267459,135.04630709999998,democrat
-292.7878923,89.4896913,republican
-242.1898698,117.7897308,republican
-251.53544039999997,108.8939061,republican
-279.89808,113.1876,republican
-280.644603,119.335761,republican
-253.33141799999999,96.85296299999999,republican
-291.162858,119.343321,republican
-281.66720399999997,98.826243,republican
-252.672054,121.68392700000001,republican
-230.27020650000003,114.3459609,republican
-271.193175,93.532548,democrat
-293.4136797,98.3317791,republican
-290.387178,131.00241599999998,republican
-306.0311301,95.51064,republican
-255.418155,104.700636,republican
-296.12666579999996,101.8549602,republican
-232.03952429999998,112.53935729999999,democrat
-286.86918,143.30832,republican
-298.210254,120.53629800000002,republican
-284.36319,110.570208,republican
-362.035536,136.19764800000002,republican
-258.690363,117.585339,republican
-351.5970519,136.6747824,republican
-273.4404861,137.6194902,republican
-267.624003,109.646013,republican
-318.412665,118.863069,democrat
-266.628453,100.26693900000001,democrat
-334.63281900000004,128.358216,republican
-232.19505600000002,109.265322,democrat
-241.12289370000002,111.5250006,democrat
-367.611624,133.466694,republican
-242.04316799999998,107.267157,republican
-275.03958,107.20857000000001,democrat
-245.19611700000002,88.781688,republican
-266.420214,136.87532399999998,republican
-249.209163,113.096949,republican
-285.40842,139.32738,republican
-324.868467,114.384678,democrat
-217.6460235,130.77718620000002,democrat
-267.83877900000005,118.636572,republican
-243.48537600000003,87.173307,republican
-240.85390800000002,110.04561180000002,republican
-339.2584332,117.10948530000002,republican
-247.17943200000002,82.426668,republican
-290.28630599999997,133.065273,republican
-243.255552,95.94121200000001,democrat
-292.46044500000005,106.77015300000001,republican
-252.340383,129.573222,republican
-233.01150239999998,117.2953758,democrat
-307.57641,122.80914,republican
-248.117139,111.57697499999999,republican
-323.0112264,131.7926052,republican
-373.169808,129.26647200000002,democrat
-304.0061685,106.09096890000001,republican
-364.938504,128.05128299999998,republican
-260.21292,124.61275499999999,republican
-247.71599399999997,122.54635200000001,republican
-329.573052,139.490901,republican
-358.573938,118.31515499999999,republican
-310.52266499999996,116.98122000000001,republican
-249.92733,102.26607899999999,republican
-268.997982,127.04917799999998,republican
-241.06183799999997,121.514973,republican
-358.8226095,143.2958127,republican
-272.03686200000004,121.367424,republican
-283.795749,117.30721199999999,democrat
-235.773369,101.799684,republican
-321.11188200000004,115.584969,democrat
-213.98125199999998,124.46265600000001,democrat
-272.906016,115.090293,republican
-316.2985866,115.40760180000001,republican
-277.923807,95.823561,republican
-226.99456800000002,125.871261,republican
-273.941808,113.899677,republican
-243.39689700000002,109.468068,republican
-329.3556054,112.75783140000001,republican
-349.900623,141.655353,republican
-251.212923,114.456747,republican
-270.164424,101.08118400000001,democrat
-252.435345,113.910942,republican
-307.5490632,94.3458354,republican
-247.816878,103.51950599999999,republican
-285.6695256,99.60079769999999,republican
-359.44659,108.217434,republican
-281.01478499999996,112.634292,democrat
-235.72659,108.908931,republican
-352.897146,113.33689799999999,republican
-229.904787,105.25465799999999,republican
-259.749915,110.22179399999999,republican
-284.498889,115.700316,republican
-285.720195,134.282025,republican
-257.107905,113.90983500000002,republican
-244.62553590000002,110.5320447,republican
-239.617593,116.42579940000002,republican
-327.52375800000004,139.14187199999998,republican
-282.5113488,89.504316,republican
-358.4712996,141.357045,republican
-299.398347,112.76351700000001,republican
-304.2813255,96.91434989999999,republican
-288.735642,120.41339099999999,republican
-267.414348,97.87040999999999,republican
-237.754362,107.114982,democrat
-302.3539431,99.4995948,republican
-255.215373,123.275727,republican
-253.460646,113.594403,republican
-296.701425,143.170308,republican
-302.639856,112.66493700000001,republican
-253.837821,91.73606099999999,democrat
-256.40639400000003,122.13619800000001,republican
-277.333878,104.686578,republican
-229.82108699999998,126.15727799999999,republican
-253.37481599999998,114.122034,democrat
-257.940084,131.902899,republican
-252.33459899999997,123.05897100000001,republican
-295.507995,122.59808100000001,republican
-313.106088,103.077819,republican
-278.13460499999997,93.268893,republican
-259.2615747,107.56902629999999,republican
-283.26072,120.99498,republican
-246.20143050000001,114.4712328,republican
-306.9984363,99.45427620000001,republican
-256.26181499999996,116.413656,republican
-309.629235,119.89737,republican
-296.2439691,79.6891227,democrat
-222.71045999999998,124.58276999999998,republican
-293.248149,130.01013,republican
-346.70832,98.54265,democrat
-277.233111,90.874491,republican
-250.79226,118.03353,republican
-282.14661,136.25823,republican
-252.68078100000002,91.43235,republican
-290.51174100000003,111.703521,republican
-266.62269,109.51268999999999,republican
-277.426383,128.542437,republican
-285.947046,112.69284900000001,republican
-299.63536799999997,146.102658,democrat
-278.801169,92.312043,republican
-343.123704,128.21060699999998,republican
-294.066987,122.618451,republican
-335.6581944,123.8184117,republican
-249.83111100000002,94.812918,republican
-367.9423263,142.783506,democrat
-317.012349,119.068209,democrat
-253.94484,117.93705,republican
-291.77699099999995,112.95592200000002,republican
-260.5557492,109.4989008,republican
-216.29856,124.06694999999999,democrat
-262.936365,125.682882,democrat
