longitude,latitude,alignment
-241.1630667,110.7471168,republican
-264.309552,92.103426,republican
-234.8539902,115.2343845,republican
-293.617629,117.008343,republican
-262.611735,117.861783,republican
-283.1946474,97.5701877,republican
-252.76473,95.847999,democrat
-277.333878,104.686578,republican
-266.938422,110.042394,republican
-289.8790461,105.5117817,republican
-238.40013,126.62934,republican
-261.364515,116.068509,republican
-292.824366,132.06462299999998,republican
-270.641376,122.792835,republican
-253.888488,108.4117227,republican
-252.96087900000003,107.2470069,republican
-269.685255,100.897857,democrat
-246.73209,112.86447,republican
-285.24657,115.31922,republican
-273.161664,124.387278,republican
-275.578512,115.392762,republican
-290.118624,108.920928,republican
-235.227375,108.980193,republican
-218.156496,125.375328,democrat
-229.995675,123.087852,republican
-339.8602041,113.5638408,republican
-273.070638,115.570434,republican
-278.387463,105.133038,republican
-232.735527,112.1579946,republican
-360.803661,113.765082,republican
-323.0112264,131.7926052,republican
-305.043399,120.540495,republican
-290.9298924,86.4079329,republican
-249.951474,112.553421,republican
-352.5884307,139.3814061,republican
-266.810091,114.61077,republican
-243.397236,98.646996,democrat
-285.80925,109.31208,republican
-287.242677,146.307732,republican
-306.99782700000003,123.335709,republican
-277.333878,104.686578,republican
-265.011804,102.810312,democrat
-270.416718,97.661307,republican
-288.327375,123.345192,republican
-250.04718,106.484643,republican
-292.46044500000005,106.770153,republican
-303.5625087,103.4385483,republican
-254.808402,122.23719,republican
-247.529559,101.722032,democrat
-245.962572,101.303424,republican
-232.10823,104.06071500000002,republican
-307.7949354,104.7971922,republican
-235.144209,121.615206,republican
-271.635333,100.67023799999998,democrat
-296.9714166,95.2575552,republican
-248.020491,115.935237,republican
-254.30589,131.45841,republican
-260.559555,102.333201,republican
-234.7407606,112.5012573,republican
-266.06392800000003,96.136122,republican
-305.202204,129.51647400000002,republican
-289.540578,121.36809,republican
-267.98604,97.02960000000002,republican
-260.54834700000004,117.048474,republican
-286.1223741,89.4359307,democrat
-238.392387,122.437143,republican
-311.178789,124.61925,republican
-207.228444,133.537722,democrat
-247.591269,106.828113,democrat
-284.82732,101.862,republican
-242.46547500000003,100.472805,democrat
-286.118673,124.169823,republican
-235.6641516,112.6676478,republican
-354.74521500000003,101.921853,democrat
-298.02645,119.353518,republican
-286.4980125,87.54482999999999,republican
-277.333878,104.686578,republican
-250.61217,103.47531,democrat
-305.7570951,96.8025117,republican
-233.9312544,118.354062,democrat
-307.8437433,107.5255314,republican
-274.771587,125.012004,democrat
-296.1776535,89.83165500000001,republican
-281.230938,115.103418,republican
-276.266157,119.392593,republican
-343.786884,132.906297,republican
-266.628453,100.266939,democrat
-266.116974,111.648357,republican
-266.842674,101.79983099999998,republican
-299.9339766,95.4847653,republican
-251.136909,101.97602700000002,republican
-250.140423,133.160736,republican
-229.6783437,112.3356864,republican
-255.089043,116.477565,republican
-289.59102,142.62741,republican
-287.124765,115.950645,republican
-239.794965,102.953214,republican
-244.5557901,117.6164469,republican
-258.9359994,108.4399974,republican
-254.624838,97.530591,democrat
-337.19761800000003,129.649071,republican
-251.87275800000003,126.185643,republican
-283.0473,114.723522,republican
-266.1356604,134.3451642,republican
-243.43878,125.305485,republican
-337.7109249,126.4885881,republican
-241.481049,99.44925,republican
-268.241409,105.590979,republican
-312.700965,89.9651298,democrat
-281.13075000000003,139.59903,republican
