longitude,latitude,alignment
-295.481832,140.81467500000002,republican
-228.7610196,113.5233792,republican
-246.782583,101.679714,republican
-365.6484525,146.4323457,democrat
-245.295261,91.817889,republican
-281.937537,118.976994,republican
-280.480041,126.210072,republican
-251.23893,111.3711,republican
-314.26664100000005,111.375894,democrat
-285.424296,128.224566,republican
-264.250173,111.071928,republican
-226.134294,119.544489,democrat
-292.46044500000005,106.770153,republican
-279.89808,113.1876,republican
-258.654045,111.682542,republican
-234.0002031,115.5091278,republican
-255.319032,110.633532,republican
-297.703578,89.2930425,republican
-253.5676566,107.54571,republican
-260.179821,98.562153,republican
-253.590087,98.113809,democrat
-291.828678,105.456942,republican
-281.230464,130.13437199999998,republican
-277.016337,131.32739099999998,democrat
-284.8955175,99.6121197,republican
-356.46813,130.92962699999998,republican
-311.498115,136.194981,republican
-230.63073,123.51108,democrat
-290.3043,117.006417,republican
-295.86951,132.19023,republican
-228.899367,118.612287,republican
-255.29553780000003,109.7219862,republican
-336.95576400000004,131.390895,republican
-256.603185,90.47742,republican
-287.541804,133.22758499999998,republican
-271.07356500000003,89.717166,republican
-297.3380478,87.8508843,republican
-249.68361,93.865956,republican
-280.480041,126.210072,republican
-343.786884,132.906297,republican
-229.821087,126.157278,republican
-264.88554,126.993441,republican
-252.194733,103.146954,democrat
-219.8790813,134.3663349,democrat
-339.2584332,117.10948530000002,republican
-248.117139,111.576975,republican
-254.92760400000003,117.422691,republican
-301.1963244,96.8157918,republican
-300.652077,109.71842999999998,republican
-273.13030200000003,92.519352,republican
-244.048785,99.749418,republican
-292.46044500000005,106.770153,republican
-283.131501,111.249348,republican
-271.63104300000003,114.77289,republican
-298.527828,125.70837,republican
-256.467675,122.528091,republican
-306.9984363,99.4542762,republican
-252.223068,125.688069,republican
-292.853322,130.802076,republican
-368.026833,127.234863,republican
-254.663826,103.490763,democrat
-237.1553382,114.5019522,democrat
-217.991082,127.018377,democrat
-265.990287,96.041406,democrat
-250.652598,133.268751,republican
-262.051203,97.826985,republican
-301.2497121,87.979248,republican
-228.247215,117.122079,republican
-252.85788,124.947108,republican
-271.868367,117.448329,republican
-281.407917,117.206115,republican
-255.902808,115.420956,republican
-301.6423107,95.6085678,republican
-294.1179381,90.1343703,republican
-232.3392495,113.234349,republican
-255.040506,101.338005,republican
-253.168386,99.243447,republican
-264.673764,121.789617,republican
-266.1267459,135.04630709999998,democrat
-259.69932,101.932074,republican
-243.397236,98.646996,democrat
-253.783575,122.619741,republican
-268.883196,107.288853,republican
-243.396897,109.468068,republican
-244.814871,124.665111,democrat
-271.398051,96.80336400000002,democrat
-229.445661,125.13606,democrat
-250.79226,118.03353,republican
-262.797156,113.421519,republican
-293.3172414,96.6827439,republican
-233.57259600000003,107.416662,republican
-333.982551,126.857676,republican
-249.298023,115.137741,republican
-257.684619,127.617885,republican
-287.266992,117.125415,republican
-254.52477,115.498185,republican
-264.262293,101.361255,republican
-253.752972,124.694877,republican
-268.0435287,130.3925787,republican
-300.7898292,106.1765706,republican
-272.22531000000004,123.616815,republican
-305.455794,100.7493723,republican
-230.44615800000005,109.480563,republican
-260.70052200000003,116.684637,republican
-334.7303475,118.0818915,republican
-232.808226,107.751231,democrat
-263.455872,95.056563,republican
-231.343254,128.756028,republican
-368.121954,136.408689,democrat
-309.629235,119.89737,republican
-292.46044500000005,106.770153,republican
-280.9647,99.29457,republican
-364.528191,114.75141,democrat
-259.824747,123.842721,republican
-240.266757,126.363879,republican
-284.927289,104.693616,republican
-277.333878,104.686578,republican
-234.944238,110.0395449,republican
-290.936919,131.82683400000002,republican
-264.6432963,132.2253258,republican
-279.968964,113.81073,republican
-280.476435,123.014775,republican
-290.0729526,122.8547055,democrat
-256.631052,136.855662,republican
-261.302424,108.765507,republican
-290.240955,128.55581999999998,republican
-316.7326056,132.5725194,republican
-240.929361,123.311844,republican
-287.900571,106.83754199999998,republican
-328.9859697,116.8903911,republican
-244.0674846,117.0861468,republican
-290.843124,84.5963628,republican
-305.123574,112.68899100000002,republican
-248.793189,95.740923,republican
-291.47148780000003,110.5153386,republican
-331.60479,136.38924300000002,republican
-252.345705,116.041095,republican
-258.102789,102.142923,republican
-228.092727,127.318734,republican
-251.813163,107.978181,republican
-289.0493316,92.0979567,republican
-350.902548,140.615172,republican
-266.810091,114.61077,republican
-222.796374,125.841636,democrat
-243.200244,109.112895,republican
-242.1669,123.431841,democrat
-285.030894,140.509878,republican
-316.83834,110.26173,republican
-242.311188,123.03264,democrat
-294.420045,121.06194,republican
-233.333616,128.351403,republican
-301.330995,124.626468,republican
-246.224994,100.084458,democrat
-238.042581,107.916342,republican
-220.318284,129.937131,republican
-296.354391,116.715477,republican
-293.1575514,85.1613537,republican
-255.241581,100.746711,republican
-287.720385,104.170752,republican
-277.756482,125.802279,republican
-292.46044500000005,106.770153,republican
-332.82042,143.34351,republican
-300.27384,139.698492,republican
-273.70242299999995,98.19051,democrat
-216.29856,124.06695,democrat
-313.609479,114.879702,republican
-284.639925,116.68129199999998,republican
-230.815809,127.259328,republican
-295.62783,139.41783,republican
-271.106376,137.02988100000002,republican
-297.6053514,99.4713243,republican
-318.357687,145.952142,republican
-309.271392,122.184273,republican
-248.99602500000003,116.444667,republican
-254.808402,122.23719,republican
-231.39909,125.72603999999998,republican
-270.0598854,133.3552851,republican
-217.1290599,131.9851056,democrat
-278.801169,92.312043,republican
-220.83036,127.54773,democrat
-230.993406,116.91798,democrat
-311.75322,110.53506,republican
-317.0437899,125.00521410000002,republican
-274.18022399999995,129.102075,republican
-355.4503086,145.4210802,republican
-265.9549581,132.2091042,republican
-262.754004,122.48075699999998,republican
-230.181417,119.888994,republican
-334.099017,98.755563,republican
-259.44006,126.32928,republican
-280.716519,125.01806100000002,republican
-306.943779,128.290368,republican
-239.694273,108.230409,democrat
-297.387162,122.25423,republican
-262.375962,119.240055,republican
-259.93390800000003,123.853437,republican
-231.4758006,110.08781340000002,republican
-272.746272,95.91843,democrat
-291.506559,118.034892,republican
-283.3438878,100.2596658,republican
-243.504066,104.079855,republican
-250.763331,92.36832,republican
-231.5493342,116.8016481,republican
-276.49212,103.14195,democrat
-256.059144,97.812192,republican
-370.0357686,138.8382669,republican
-266.938422,110.042394,republican
-280.480041,126.210072,republican
-270.416718,97.661307,republican
-268.22193,122.11095,republican
-260.966166,94.292778,republican
-283.930806,127.158183,republican
-269.753127,95.707515,republican
-281.355036,115.205433,republican
-299.15346780000004,85.14658469999999,democrat
-290.050359,120.765702,republican
-250.476957,113.186127,republican
-277.547676,110.839551,republican
-292.74261,137.211132,republican
-249.90126,91.25898,republican
-280.11947100000003,134.71242,democrat
-257.74293900000004,108.415041,republican
-294.152577,121.571007,republican
-252.334599,123.058971,republican
-258.3996468,109.1647128,republican
-253.123647,118.345476,republican
-244.210038,106.202322,republican
-240.184272,119.747241,republican
-267.583917,120.94566,republican
-262.741569,114.952194,republican
-217.083117,125.647659,democrat
-290.286306,133.065273,republican
-368.692743,131.785002,democrat
-253.380819,127.723005,republican
-254.892897,116.821581,republican
-282.04555200000004,123.991866,republican
-263.116794,108.857346,republican
-364.938504,128.05128299999998,republican
-212.037012,129.499383,democrat
-250.852662,98.41314599999998,democrat
-270.555435,101.615163,republican
-242.341041,101.02434,republican
-231.2070852,113.0822166,republican
-273.622389,123.610581,republican
-299.155053,128.62644,republican
-260.821647,100.611984,republican
-249.002226,114.974679,republican
-293.010552,115.128906,republican
-267.774762,96.957594,republican
-319.8422445,132.0466914,republican
-261.655911,123.081777,republican
-265.877178,118.910688,republican
-279.98359500000004,96.002256,republican
-279.735276,123.706791,republican
-205.47897,136.100382,democrat
-286.1223741,89.4359307,democrat
-247.264521,93.152643,republican
-341.249067,107.153115,republican
-219.57864,127.53774,democrat
-272.6815422,129.6814917,republican
-278.482854,117.13011,republican
-275.401197,98.460024,republican
-230.17444290000003,110.6861031,republican
-287.8521702,92.8654758,republican
-292.5325908,88.33096649999999,republican
-262.340097,94.985739,republican
-294.721689,93.5284089,republican
-247.100754,90.16284,republican
-231.046281,115.418559,democrat
-286.4980125,87.54482999999999,republican
-372.282402,129.55773,republican
-314.777961,117.976242,republican
-239.197683,103.61047200000002,democrat
-269.685255,100.897857,democrat
-351.87645000000003,102.314382,democrat
-269.2462296,106.498044,republican
-293.29698,120.017271,republican
-277.222416,136.2955719,republican
-280.480041,126.210072,republican
-280.020759,91.935054,republican
-256.853604,105.4523421,republican
-242.08188,122.66517,republican
-236.8250766,118.1519715,republican
-254.386377,130.848099,republican
-266.8951257,133.4783667,republican
-288.016143,119.373129,republican
-332.76522,139.7571,republican
-281.710044,133.172592,republican
-236.098251,102.872148,republican
-279.893364,137.84328,republican
-292.46044500000005,106.770153,republican
-269.842443,110.554671,republican
-263.371359,108.122466,republican
-286.24503300000003,107.830257,republican
-294.299334,115.151697,republican
-270.04955099999995,95.512812,republican
-303.8567211,100.7336454,republican
-277.139448,127.473591,democrat
-294.64434,122.69169,republican
-289.5239226,93.1017174,republican
-266.62269,109.51269,republican
-308.4448116,102.1047582,republican
-262.123011,124.416741,democrat
-295.5948942,86.5663302,republican
-248.65548,111.607797,republican
-279.32742299999995,95.12964,republican
-292.46044500000005,106.770153,republican
-300.949749,111.715071,republican
-248.09298,115.5519,republican
-351.5970519,136.6747824,republican
-256.182096,98.746512,republican
-268.06944,123.33426,republican
-232.0395243,112.5393573,democrat
-246.157368,116.2497039,republican
-286.722891,128.164605,republican
-251.49370500000003,113.428701,republican
-316.663596,109.287717,democrat
-248.263758,96.013032,republican
-274.355994,98.37744,republican
-280.85757,117.354213,republican
-264.143658,115.95,republican
-335.7309372,121.9896891,democrat
-343.97169599999995,98.104383,republican
-285.217944,104.90979,republican
-241.5576675,112.6757463,republican
-288.534843,111.078729,republican
-285.876138,114.645342,republican
-262.95332399999995,104.712504,republican
-231.4740951,116.6124249,democrat
-273.350313,90.888084,democrat
-296.541195,128.734476,republican
-275.03958,107.20857,democrat
-319.735539,109.396248,democrat
-272.0889,127.636236,republican
-269.803506,90.16026,democrat
-274.173984,111.457494,republican
-278.87688,123.569859,republican
-242.6047479,118.3658739,republican
-234.5922633,116.6905809,republican
-235.548654,126.348504,republican
-317.372901,112.439799,democrat
-243.4635186,118.111107,republican
-268.723815,112.005867,republican
-263.375049,117.997002,republican
-258.234606,106.466295,republican
-253.405917,136.778526,republican
-273.9120939,134.1772929,democrat
-289.22009610000003,98.6770392,republican
-288.00115800000003,121.035588,republican
-243.36616200000003,95.821473,republican
-253.888488,108.4117227,republican
-267.12161100000003,102.681738,republican
-362.190759,139.2407883,republican
-319.5501,115.82748,democrat
-295.80192,113.88672,republican
-277.333878,104.686578,republican
-275.901081,122.199186,republican
-278.33796,129.408201,republican
-282.5254167,94.1911095,republican
-257.43264,130.00839,republican
-366.36996,120.0813,republican
-238.3092318,110.4365034,republican
-222.71046,124.58276999999998,republican
-315.604263,120.148404,democrat
-268.53264540000004,133.3814793,democrat
-258.773451,97.070964,democrat
-317.012349,119.068209,democrat
-288.4888803,95.0773284,republican
-278.430207,116.541279,republican
-263.417817,126.557904,democrat
-301.960125,129.92719499999998,democrat
-304.982481,134.969292,republican
-244.5269505,115.0284624,republican
-266.738556,113.188713,republican
-280.480041,126.210072,republican
-230.27020650000003,114.3459609,republican
-251.735154,127.807596,republican
-311.584035,114.584658,republican
-297.26679,134.694459,republican
-364.474305,131.48049600000002,republican
-254.347644,136.7817,republican
-257.447817,92.586021,republican
-258.12754800000005,116.735871,republican
-304.77468,116.7342,republican
-290.937147,126.619251,republican
-279.855621,116.182101,republican
-204.700728,133.785393,republican
-217.6460235,130.77718620000002,democrat
-323.72934,118.798056,republican
-228.535428,116.245047,republican
-227.78058,121.241871,republican
